date,TICKER,INDEXNAME,DURATION,daily_value
2019-02-01,ADBE,Global Transaction Index,Daily,0.09668982101411397
2019-02-04,ADBE,Global Transaction Index,Daily,0.09806594075523581
2019-02-05,ADBE,Global Transaction Index,Daily,0.09944206049635765
2019-02-06,ADBE,Global Transaction Index,Daily,0.1008181802374795
2019-02-07,ADBE,Global Transaction Index,Daily,0.10219429997860134
2019-02-08,ADBE,Global Transaction Index,Daily,0.10357041971972317
2019-02-11,ADBE,Global Transaction Index,Daily,0.104946539460845
2019-02-12,ADBE,Global Transaction Index,Daily,0.10632265920196686
2019-02-13,ADBE,Global Transaction Index,Daily,0.1076987789430887
2019-02-14,ADBE,Global Transaction Index,Daily,0.10907489868421054
2019-02-15,ADBE,Global Transaction Index,Daily,0.11045101842533239
2019-02-19,ADBE,Global Transaction Index,Daily,0.11182713816645423
2019-02-20,ADBE,Global Transaction Index,Daily,0.11320325790757607
2019-02-21,ADBE,Global Transaction Index,Daily,0.11457937764869791
2019-02-22,ADBE,Global Transaction Index,Daily,0.11595549738981975
2019-02-25,ADBE,Global Transaction Index,Daily,0.11733161713094159
2019-02-26,ADBE,Global Transaction Index,Daily,0.11870773687206343
2019-02-27,ADBE,Global Transaction Index,Daily,0.12008385661318528
2019-02-28,ADBE,Global Transaction Index,Daily,0.12145997635430712
2019-03-01,ADBE,Global Transaction Index,Daily,0.10963509051120078
2019-03-04,ADBE,Global Transaction Index,Daily,0.1085859641648426
2019-03-05,ADBE,Global Transaction Index,Daily,0.10753683781848443
2019-03-06,ADBE,Global Transaction Index,Daily,0.10648771147212624
2019-03-07,ADBE,Global Transaction Index,Daily,0.10543858512576808
2019-03-08,ADBE,Global Transaction Index,Daily,0.10438945877940992
2019-03-11,ADBE,Global Transaction Index,Daily,0.10334033243305174
2019-03-12,ADBE,Global Transaction Index,Daily,0.10229120608669356
2019-03-13,ADBE,Global Transaction Index,Daily,0.10124207974033538
2019-03-14,ADBE,Global Transaction Index,Daily,0.1001929533939772
2019-03-15,ADBE,Global Transaction Index,Daily,0.09914382704761904
2019-03-18,ADBE,Global Transaction Index,Daily,0.09809470070126088
2019-03-19,ADBE,Global Transaction Index,Daily,0.0970455743549027
2019-03-20,ADBE,Global Transaction Index,Daily,0.09599644800854451
2019-03-21,ADBE,Global Transaction Index,Daily,0.09494732166218633
2019-03-22,ADBE,Global Transaction Index,Daily,0.09389819531582817
2019-03-25,ADBE,Global Transaction Index,Daily,0.09284906896947
2019-03-26,ADBE,Global Transaction Index,Daily,0.09179994262311182
2019-03-27,ADBE,Global Transaction Index,Daily,0.09075081627675363
2019-03-28,ADBE,Global Transaction Index,Daily,0.08970168993039547
2019-03-29,ADBE,Global Transaction Index,Daily,0.08865256358403731
2019-04-01,ADBE,Global Transaction Index,Daily,0.09773545291891352
2019-04-02,ADBE,Global Transaction Index,Daily,0.09788863916040229
2019-04-03,ADBE,Global Transaction Index,Daily,0.09804182540189105
