TICKER,INDEXNAME,year,quarter,quarter_label,quarter_estimate,coverage,method
DASH,Global New Store Index,2024,2024Q3,Q3 2024,116.955195817,1.0,reported_quarter
DASH,Global New Store Index,2024,2024Q4,Q4 2024,98.030910135,1.0,reported_quarter
DASH,Global New Store Index,2025,2025Q1,Q1 2025,74.957843951,1.0,reported_quarter
DASH,Global New Store Index,2025,2025Q2,Q2 2025,64.858381557,1.0,reported_quarter
DASH,Global New Store Index,2025,2025Q3,Q3 2025,91.966632372,1.0,reported_quarter
DASH,Global Order Index,2018,2018Q1,Q1 2018,3.1797770055,0.6666666666666666,scaled
DASH,Global Order Index,2018,2018Q2,Q2 2018,3.516973935,1.0,reported_quarter
DASH,Global Order Index,2018,2018Q3,Q3 2018,4.962827859,1.0,reported_quarter
DASH,Global Order Index,2018,2018Q4,Q4 2018,7.135587273,1.0,reported_quarter
DASH,Global Order Index,2019,2019Q1,Q1 2019,9.953596995,1.0,reported_quarter
DASH,Global Order Index,2019,2019Q2,Q2 2019,15.167758206,1.0,reported_quarter
DASH,Global Order Index,2019,2019Q3,Q3 2019,18.660449772,1.0,reported_quarter
DASH,Global Order Index,2019,2019Q4,Q4 2019,21.714498635,1.0,reported_quarter
DASH,Global Order Index,2020,2020Q1,Q1 2020,24.939851684,1.0,reported_quarter
DASH,Global Order Index,2020,2020Q2,Q2 2020,30.860835066,1.0,reported_quarter
DASH,Global Order Index,2020,2020Q3,Q3 2020,61.223659646,1.0,reported_quarter
DASH,Global Order Index,2020,2020Q4,Q4 2020,71.53054295,1.0,reported_quarter
DASH,Global Order Index,2021,2021Q1,Q1 2021,84.105952853,1.0,reported_quarter
DASH,Global Order Index,2021,2021Q2,Q2 2021,97.581834304,1.0,reported_quarter
DASH,Global Order Index,2021,2021Q3,Q3 2021,98.363993808,1.0,reported_quarter
DASH,Global Order Index,2021,2021Q4,Q4 2021,100.738777892,1.0,reported_quarter
DASH,Global Order Index,2022,2022Q1,Q1 2022,105.719053436,1.0,reported_quarter
DASH,Global Order Index,2022,2022Q2,Q2 2022,116.941854441,1.0,reported_quarter
DASH,Global Order Index,2022,2022Q3,Q3 2022,119.825235815,1.0,reported_quarter
DASH,Global Order Index,2022,2022Q4,Q4 2022,116.649616657,1.0,reported_quarter
DASH,Global Order Index,2023,2023Q1,Q1 2023,123.69866414,1.0,reported_quarter
DASH,Global Order Index,2023,2023Q2,Q2 2023,139.786637378,1.0,reported_quarter
DASH,Global Order Index,2023,2023Q3,Q3 2023,144.556083161,1.0,reported_quarter
DASH,Global Order Index,2023,2023Q4,Q4 2023,147.525285256,1.0,reported_quarter
DASH,Global Order Index,2024,2024Q1,Q1 2024,152.533457152,1.0,reported_quarter
DASH,Global Order Index,2024,2024Q2,Q2 2024,166.150836705,1.0,reported_quarter
DASH,Global Order Index,2024,2024Q3,Q3 2024,168.622887059,1.0,reported_quarter
DASH,Global Order Index,2024,2024Q4,Q4 2024,173.305417271,1.0,reported_quarter
DASH,Global Order Index,2025,2025Q1,Q1 2025,184.766994043,1.0,reported_quarter
DASH,Global Order Index,2025,2025Q2,Q2 2025,197.96438071,1.0,reported_quarter
DASH,Global Order Index,2025,2025Q3,Q3 2025,225.583564268,1.0,reported_quarter
FVRR,Global Transaction Index,2018,2018Q2,Q2 2018,3.0196551659999997,0.6666666666666666,scaled
FVRR,Global Transaction Index,2018,2018Q3,Q3 2018,2.976179501,1.0,reported_quarter
FVRR,Global Transaction Index,2018,2018Q4,Q4 2018,2.947572837,1.0,reported_quarter
FVRR,Global Transaction Index,2019,2019Q1,Q1 2019,3.169324913,1.0,reported_quarter
FVRR,Global Transaction Index,2019,2019Q2,Q2 2019,3.35149536,1.0,reported_quarter
FVRR,Global Transaction Index,2019,2019Q3,Q3 2019,3.463775054,1.0,reported_quarter
FVRR,Global Transaction Index,2019,2019Q4,Q4 2019,3.642779453,1.0,reported_quarter
FVRR,Global Transaction Index,2020,2020Q1,Q1 2020,3.909786879,1.0,reported_quarter
FVRR,Global Transaction Index,2020,2020Q2,Q2 2020,4.351792368,1.0,reported_quarter
FVRR,Global Transaction Index,2020,2020Q3,Q3 2020,6.136737826,1.0,reported_quarter
FVRR,Global Transaction Index,2020,2020Q4,Q4 2020,6.647760202,1.0,reported_quarter
FVRR,Global Transaction Index,2021,2021Q1,Q1 2021,7.142901739,1.0,reported_quarter
FVRR,Global Transaction Index,2021,2021Q2,Q2 2021,8.875323073,1.0,reported_quarter
FVRR,Global Transaction Index,2021,2021Q3,Q3 2021,8.704359057,1.0,reported_quarter
FVRR,Global Transaction Index,2021,2021Q4,Q4 2021,8.42989491,1.0,reported_quarter
FVRR,Global Transaction Index,2022,2022Q1,Q1 2022,8.140549382,1.0,reported_quarter
FVRR,Global Transaction Index,2022,2022Q2,Q2 2022,8.73897827,1.0,reported_quarter
FVRR,Global Transaction Index,2022,2022Q3,Q3 2022,8.174674424,1.0,reported_quarter
FVRR,Global Transaction Index,2022,2022Q4,Q4 2022,8.144099653,1.0,reported_quarter
FVRR,Global Transaction Index,2023,2023Q1,Q1 2023,8.079270809,1.0,reported_quarter
FVRR,Global Transaction Index,2023,2023Q2,Q2 2023,8.33329679,1.0,reported_quarter
FVRR,Global Transaction Index,2023,2023Q3,Q3 2023,7.839846828,1.0,reported_quarter
FVRR,Global Transaction Index,2023,2023Q4,Q4 2023,7.55653062,1.0,reported_quarter
FVRR,Global Transaction Index,2024,2024Q1,Q1 2024,7.169873982,1.0,reported_quarter
FVRR,Global Transaction Index,2024,2024Q2,Q2 2024,7.426741824,1.0,reported_quarter
FVRR,Global Transaction Index,2024,2024Q3,Q3 2024,6.774895055,1.0,reported_quarter
FVRR,Global Transaction Index,2024,2024Q4,Q4 2024,6.458759839,1.0,reported_quarter
FVRR,Global Transaction Index,2025,2025Q1,Q1 2025,6.219661834,1.0,reported_quarter
FVRR,Global Transaction Index,2025,2025Q2,Q2 2025,6.379461381,1.0,reported_quarter
FVRR,Global Transaction Index,2025,2025Q3,Q3 2025,5.907144686,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2018,2018Q2,Q2 2018,2.0506950479881874,0.9836065573770492,daily_slope_projection
MELI,Mercado Libre Transaction Index,2018,2018Q3,Q3 2018,3.049573226,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2018,2018Q4,Q4 2018,3.171951245,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2019,2019Q1,Q1 2019,3.323478152,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2019,2019Q2,Q2 2019,3.179226925,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2019,2019Q3,Q3 2019,3.497552963,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2019,2019Q4,Q4 2019,3.924222863,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2020,2020Q1,Q1 2020,4.287164553,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2020,2020Q2,Q2 2020,4.084942455,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2020,2020Q3,Q3 2020,6.912010816,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2020,2020Q4,Q4 2020,7.792242001,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2021,2021Q1,Q1 2021,8.559670631,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2021,2021Q2,Q2 2021,8.119712309,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2021,2021Q3,Q3 2021,9.03796076,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2021,2021Q4,Q4 2021,9.388334802,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2022,2022Q1,Q1 2022,10.333150745,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2022,2022Q2,Q2 2022,9.518285941,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2022,2022Q3,Q3 2022,9.94280551,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2022,2022Q4,Q4 2022,10.279037546,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2023,2023Q1,Q1 2023,11.649289138,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2023,2023Q2,Q2 2023,11.330573693,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2023,2023Q3,Q3 2023,11.999530533,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2023,2023Q4,Q4 2023,12.961592444,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2024,2024Q1,Q1 2024,14.908766305,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2024,2024Q2,Q2 2024,13.884059353,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2024,2024Q3,Q3 2024,15.034878755,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2024,2024Q4,Q4 2024,16.403256312,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2025,2025Q1,Q1 2025,18.957558258,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2025,2025Q2,Q2 2025,17.921719021,1.0,reported_quarter
MELI,Mercado Libre Transaction Index,2025,2025Q3,Q3 2025,19.869063036,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2021,2021Q2,Q2 2021,2.1268125540000002,1.0,daily_slope_projection
MELI,Mercado Pago Transaction Index,2021,2021Q3,Q3 2021,3.281982425,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2021,2021Q4,Q4 2021,4.023135768,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2022,2022Q1,Q1 2022,4.761219125,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2022,2022Q2,Q2 2022,4.968311474,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2022,2022Q3,Q3 2022,5.712880914,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2022,2022Q4,Q4 2022,6.493257808,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2023,2023Q1,Q1 2023,7.572756057,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2023,2023Q2,Q2 2023,7.767584287,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2023,2023Q3,Q3 2023,8.959519098,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2023,2023Q4,Q4 2023,10.729102336,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2024,2024Q1,Q1 2024,12.747820515,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2024,2024Q2,Q2 2024,13.522352906,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2024,2024Q3,Q3 2024,15.417295844,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2024,2024Q4,Q4 2024,18.2843592,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2025,2025Q1,Q1 2025,21.273602688,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2025,2025Q2,Q2 2025,21.544161044,1.0,reported_quarter
MELI,Mercado Pago Transaction Index,2025,2025Q3,Q3 2025,24.244954432,1.0,reported_quarter
